Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,260.000000,262.000000,259.500000,261.000000,252.670975,17509320
2019-07-30,262.500000,263.000000,260.000000,260.000000,251.702896,22670612
2019-07-31,260.000000,260.000000,257.000000,259.500000,251.218842,31635601
2019-08-01,257.500000,257.500000,255.500000,256.500000,248.314575,30017526
2019-08-02,252.000000,253.500000,250.500000,251.500000,243.474152,54021644
2019-08-05,251.000000,252.000000,245.500000,246.500000,238.633698,51535721
2019-08-06,240.000000,250.000000,240.000000,248.500000,240.569885,58625879
2019-08-07,250.000000,250.500000,246.500000,248.000000,240.085831,29435460
2019-08-08,248.000000,254.000000,248.000000,253.500000,245.410309,29725266
2019-08-12,254.500000,254.500000,251.000000,251.000000,242.990112,21794603
2019-08-13,249.000000,249.500000,246.500000,246.500000,238.633698,23121107
2019-08-14,252.500000,254.000000,249.500000,249.500000,241.537964,35216703
2019-08-15,247.000000,248.500000,246.000000,248.000000,240.085831,27624412
2019-08-16,249.500000,252.000000,248.000000,250.000000,242.022018,25370715
2019-08-19,251.500000,253.000000,250.500000,252.000000,243.958191,24060514
2019-08-20,254.000000,254.500000,252.500000,254.500000,246.378403,19960494
2019-08-21,254.500000,255.000000,253.000000,254.500000,246.378403,20269296
2019-08-22,257.000000,257.500000,254.000000,254.000000,245.894363,21900840
2019-08-23,253.500000,254.500000,253.000000,254.000000,245.894363,14166877
2019-08-26,249.000000,250.500000,248.500000,248.500000,240.569885,31678620
2019-08-27,250.500000,251.000000,248.500000,250.000000,242.022018,50234951
2019-08-28,250.500000,253.000000,250.500000,252.000000,243.958191,15132882
2019-08-29,253.000000,254.000000,251.000000,254.000000,245.894363,19587767
2019-08-30,256.500000,259.000000,256.000000,259.000000,250.734802,35184201
2019-09-02,258.000000,258.000000,256.000000,257.500000,249.282684,14614854
2019-09-03,256.500000,258.000000,253.000000,254.000000,245.894363,25762495
2019-09-04,254.000000,258.000000,254.000000,257.500000,249.282684,22540733
2019-09-05,263.000000,263.000000,260.500000,263.000000,254.607147,48791728
2019-09-06,265.000000,265.000000,263.000000,263.500000,255.091187,25408515
2019-09-10,263.500000,264.000000,260.500000,261.500000,253.155029,29308866
2019-09-11,264.000000,264.500000,260.500000,263.000000,254.607147,36196015
2019-09-12,265.000000,265.000000,261.500000,262.500000,254.123138,26017293
2019-09-16,262.000000,265.500000,261.500000,265.500000,257.027374,32573966
2019-09-17,266.500000,266.500000,264.500000,265.000000,256.543335,27600844
2019-09-18,267.000000,269.500000,266.500000,267.000000,258.479523,47684759
2019-09-19,268.000000,268.000000,264.000000,265.000000,258.479523,25233567
2019-09-20,266.000000,266.500000,264.000000,264.000000,257.504120,43868865
2019-09-23,264.000000,264.000000,263.000000,264.000000,257.504120,13093208
2019-09-24,263.500000,265.500000,262.000000,265.000000,258.479523,24244943
2019-09-25,262.500000,266.000000,262.000000,266.000000,259.454895,21003163
2019-09-26,269.000000,269.500000,266.500000,268.000000,261.405701,29940103
2019-09-27,271.500000,272.500000,271.000000,272.000000,265.307251,41235817
2019-10-01,273.000000,280.500000,273.000000,280.000000,273.110413,71743890
2019-10-02,280.000000,281.000000,279.000000,279.500000,272.622711,29295953
2019-10-03,274.000000,277.500000,274.000000,276.500000,269.696503,31890864
2019-10-04,279.500000,280.000000,275.000000,276.500000,269.696503,35169613
2019-10-07,279.000000,279.500000,277.500000,278.000000,271.159637,17510230
2019-10-08,283.500000,286.500000,282.500000,286.500000,279.450470,35278551
2019-10-09,283.500000,286.000000,282.000000,282.000000,275.061218,34777456
2019-10-14,291.500000,291.500000,288.500000,290.000000,282.864380,46683517
2019-10-15,293.500000,296.000000,292.000000,293.500000,286.278259,38018567
2019-10-16,298.000000,298.000000,293.500000,296.500000,289.204437,40297144
2019-10-17,295.000000,295.500000,292.000000,293.500000,286.278259,40271938
2019-10-18,293.000000,295.500000,291.000000,293.000000,285.790558,45102984
2019-10-21,291.000000,291.000000,288.500000,290.000000,282.864380,34634365
2019-10-22,292.500000,294.000000,291.500000,294.000000,286.765961,26005020
2019-10-23,293.500000,293.500000,290.500000,293.000000,285.790558,28675408
2019-10-24,294.500000,294.500000,291.000000,293.000000,285.790558,29040827
2019-10-25,294.500000,294.500000,292.500000,293.500000,286.278259,22682711
2019-10-28,295.000000,295.500000,294.000000,294.500000,287.253632,20076561
2019-10-29,297.000000,298.500000,296.500000,298.500000,291.155212,36682131
2019-10-30,298.500000,299.500000,296.500000,299.500000,292.130615,32370342
2019-10-31,300.000000,301.500000,298.500000,298.500000,291.155212,40944514
2019-11-01,299.500000,299.500000,296.500000,299.000000,291.642914,30121678
2019-11-04,302.500000,308.000000,301.000000,307.000000,299.446106,44899671
2019-11-05,307.500000,310.500000,307.000000,310.500000,302.859955,32201184
2019-11-06,309.000000,311.500000,308.000000,311.000000,303.347626,22149743
2019-11-07,310.000000,310.000000,306.500000,309.000000,301.396820,28291659
2019-11-08,308.500000,309.000000,305.500000,305.500000,297.982971,25651542
2019-11-11,305.000000,305.000000,300.000000,301.000000,293.593719,35165583
2019-11-12,302.500000,305.000000,302.000000,305.000000,297.495300,17540708
2019-11-13,303.000000,304.000000,301.500000,304.000000,296.519897,18172438
2019-11-14,304.500000,305.000000,302.000000,303.500000,296.032196,15734835
2019-11-15,305.500000,307.500000,304.500000,307.000000,299.446106,28848445
2019-11-18,308.500000,311.000000,307.000000,311.000000,303.347626,18691325
2019-11-19,312.500000,315.000000,311.000000,315.000000,307.249207,31634197
2019-11-20,314.000000,314.000000,312.000000,313.500000,305.786163,22387973
2019-11-21,309.500000,311.000000,307.000000,311.000000,303.347626,28108833
2019-11-22,310.000000,310.500000,308.000000,309.000000,301.396820,24737984
2019-11-25,310.500000,310.500000,307.000000,307.000000,299.446106,19530177
2019-11-26,310.000000,310.500000,307.000000,307.000000,299.446106,101224622
2019-11-27,307.500000,311.500000,307.500000,311.000000,303.347626,18467648
2019-11-28,310.000000,312.000000,308.500000,309.500000,301.884552,19077982
2019-11-29,309.000000,309.500000,305.000000,305.000000,297.495300,30963561
2019-12-02,307.000000,308.000000,306.500000,307.500000,299.933777,24016807
2019-12-03,305.000000,307.000000,305.000000,307.000000,299.446106,24690319
2019-12-04,305.000000,306.000000,304.000000,306.000000,298.470673,25492686
2019-12-05,309.000000,312.000000,309.000000,312.000000,304.323029,34521842
2019-12-06,315.000000,316.000000,311.000000,313.000000,305.298431,17695703
2019-12-09,314.000000,316.500000,314.000000,316.000000,308.224609,23256081
2019-12-10,315.000000,315.500000,312.500000,313.500000,305.786163,20570594
2019-12-11,314.000000,319.000000,313.000000,319.000000,311.150787,31223148
2019-12-12,325.000000,334.500000,324.000000,331.500000,323.343231,52742851
2019-12-13,340.000000,343.000000,338.000000,339.000000,330.658661,58198939
2019-12-16,336.500000,338.500000,336.000000,336.000000,327.732513,102188
2019-12-17,335.000000,345.000000,335.000000,345.000000,336.511047,40813458
2019-12-18,341.500000,345.000000,341.500000,344.500000,336.023346,39682841
2019-12-19,340.000000,342.000000,335.000000,335.000000,329.145660,54888012
2019-12-20,332.000000,333.000000,328.500000,329.000000,323.250519,86280459
